key,count,last used,description
xcx,29,2025-06-14T02:03:40,Cheat sheet
xx5,26,2025-06-26T06:08:23,2025
xxy,25,2025-06-26T06:10:39,Last 1Y
xxt,19,2025-06-26T05:54:21,Templates
xxw,13,2025-06-22T16:12:37,wrestling
xx2,7,2025-06-17T05:11:16,40 latest with history
qqw,7,2025-06-26T05:58:09,Capture and open
nyp,6,2025-06-22T07:28:39,Ny post
xxk,4,2025-06-20T08:18:20,kill day
xxl,4,2025-06-22T08:38:09,40 latest ever
yyt,3,2025-06-15T16:33:58,YouTube
vv2,2,2025-06-21T07:00:16,Claude
xxb,1,2025-06-14T09:28:49,Bedard-grade
